;ano_eleicao;num_turno;sigla_uf;muni_code;sigla_partido_hoje;total_votes_race;cand_votes;max_votes;runner_up
11427;2020;1;RJ;58009;PODE;15002;303;7829;6615.0
11428;2020;1;RJ;58009;PSC;15002;6615;7829;6615.0
11429;2020;1;RJ;58009;DEM;15002;7829;7829;6615.0
11430;2020;1;RJ;58009;PRTB;15002;129;7829;6615.0
11431;2020;1;RJ;58009;AVANTE;15002;126;7829;6615.0
11432;2020;1;RJ;58017;PP;85783;31098;45172;31098.0
11433;2020;1;RJ;58017;PDT;85783;3376;45172;31098.0
11434;2020;1;RJ;58017;PT;85783;1804;45172;31098.0
11435;2020;1;RJ;58017;MDB;85783;45172;45172;31098.0
11436;2020;1;RJ;58017;PSL;85783;548;45172;31098.0
11437;2020;1;RJ;58017;DC;85783;1991;45172;31098.0
11438;2020;1;RJ;58017;PRTB;85783;1042;45172;31098.0
11439;2020;1;RJ;58017;PV;85783;183;45172;31098.0
11440;2020;1;RJ;58017;PCdoB;85783;569;45172;31098.0
11441;2020;1;RJ;58025;REPUBLICANOS;8280;213;3747;2583.0
11442;2020;1;RJ;58025;PSL;8280;2583;3747;2583.0
11443;2020;1;RJ;58025;PSC;8280;3747;3747;2583.0
11444;2020;1;RJ;58025;PSD;8280;1737;3747;2583.0
11445;2020;1;RJ;58033;PP;64135;40620;40620;15800.0
11446;2020;1;RJ;58033;PDT;64135;1738;40620;15800.0
11447;2020;1;RJ;58033;PSL;64135;2644;40620;15800.0
11448;2020;1;RJ;58033;PL;64135;15800;40620;15800.0
11449;2020;1;RJ;58033;PV;64135;323;40620;15800.0
11450;2020;1;RJ;58033;SOLIDARIEDADE;64135;3010;40620;15800.0
11451;2020;1;RJ;58041;MDB;202393;162720;162720;25565.0
11452;2020;1;RJ;58041;PL;202393;25565;162720;25565.0
11453;2020;1;RJ;58041;PSOL;202393;3786;162720;25565.0
11454;2020;1;RJ;58041;PSD;202393;8301;162720;25565.0
11455;2020;1;RJ;58041;PCdoB;202393;2021;162720;25565.0
11456;2020;1;RJ;58050;REPUBLICANOS;45441;21424;21424;13880.0
11457;2020;1;RJ;58050;PP;45441;8746;21424;13880.0
11458;2020;1;RJ;58050;PT;45441;873;21424;13880.0
11459;2020;1;RJ;58050;DC;45441;308;21424;13880.0
11460;2020;1;RJ;58050;PATRIOTA;45441;13880;21424;13880.0
11461;2020;1;RJ;58050;PCdoB;45441;210;21424;13880.0
11462;2020;1;RJ;58068;MDB;9497;2431;3359;3351.0
11463;2020;1;RJ;58068;DC;9497;3351;3359;3351.0
11464;2020;1;RJ;58068;PSB;9497;356;3359;3351.0
11465;2020;1;RJ;58068;PSD;9497;3359;3359;3351.0
11466;2020;1;RJ;58076;PDT;84273;1078;43323;15247.0
11467;2020;1;RJ;58076;PT;84273;6479;43323;15247.0
11468;2020;1;RJ;58076;PODE;84273;1266;43323;15247.0
11469;2020;1;RJ;58076;CIDADANIA;84273;15247;43323;15247.0
11470;2020;1;RJ;58076;DEM;84273;43323;43323;15247.0
11471;2020;1;RJ;58076;PTC;84273;1123;43323;15247.0
11472;2020;1;RJ;58076;PSOL;84273;908;43323;15247.0
11473;2020;1;RJ;58076;PATRIOTA;84273;4820;43323;15247.0
11474;2020;1;RJ;58076;PSD;84273;7936;43323;15247.0
11475;2020;1;RJ;58076;SOLIDARIEDADE;84273;2093;43323;15247.0
11476;2020;1;RJ;58084;PP;6770;3392;3392;3236.0
11477;2020;1;RJ;58084;MDB;6770;3236;3392;3236.0
11478;2020;1;RJ;58084;PRTB;6770;142;3392;3236.0
11479;2020;1;RJ;58092;PSC;15080;138;7512;5798.0
11480;2020;1;RJ;58092;PL;15080;7512;7512;5798.0
11481;2020;1;RJ;58092;PV;15080;185;7512;5798.0
11482;2020;1;RJ;58092;AVANTE;15080;5798;7512;5798.0
11483;2020;1;RJ;58092;SOLIDARIEDADE;15080;1447;7512;5798.0
11484;2020;1;RJ;58106;PTB;30441;1979;14827;9790.0
11485;2020;1;RJ;58106;MDB;30441;880;14827;9790.0
11486;2020;1;RJ;58106;PL;30441;9790;14827;9790.0
11487;2020;1;RJ;58106;PMB;30441;14827;14827;9790.0
11488;2020;1;RJ;58106;PSD;30441;2965;14827;9790.0
11489;2020;1;RJ;58114;REPUBLICANOS;22412;7391;7391;6985.0
11490;2020;1;RJ;58114;PTB;22412;442;7391;6985.0
11491;2020;1;RJ;58114;PSL;22412;6474;7391;6985.0
11492;2020;1;RJ;58114;PODE;22412;182;7391;6985.0
11493;2020;1;RJ;58114;PMB;22412;153;7391;6985.0
11494;2020;1;RJ;58114;PATRIOTA;22412;638;7391;6985.0
11495;2020;1;RJ;58114;PCdoB;22412;147;7391;6985.0
11496;2020;1;RJ;58114;SOLIDARIEDADE;22412;6985;7391;6985.0
11497;2020;1;RJ;58122;PT;65930;756;19010;16887.0
11498;2020;1;RJ;58122;PTB;65930;5511;19010;16887.0
11499;2020;1;RJ;58122;DEM;65930;5396;19010;16887.0
11500;2020;1;RJ;58122;PMN;65930;562;19010;16887.0
11501;2020;1;RJ;58122;PSDB;65930;15668;19010;16887.0
11502;2020;1;RJ;58122;PSOL;65930;1240;19010;16887.0
11503;2020;1;RJ;58122;PSD;65930;16887;19010;16887.0
11504;2020;1;RJ;58122;PCdoB;65930;374;19010;16887.0
11505;2020;1;RJ;58122;SOLIDARIEDADE;65930;19010;19010;16887.0
11506;2020;1;RJ;58122;PROS;65930;526;19010;16887.0
11507;2020;1;RJ;58130;REPUBLICANOS;91504;33920;44947;33920.0
11508;2020;1;RJ;58130;PDT;91504;44947;44947;33920.0
11509;2020;1;RJ;58130;PSL;91504;3486;44947;33920.0
11510;2020;1;RJ;58130;DEM;91504;1231;44947;33920.0
11511;2020;1;RJ;58130;PMN;91504;583;44947;33920.0
11512;2020;1;RJ;58130;PTC;91504;836;44947;33920.0
11513;2020;1;RJ;58130;PSDB;91504;3753;44947;33920.0
11514;2020;1;RJ;58130;PSOL;91504;562;44947;33920.0
11515;2020;1;RJ;58130;PSD;91504;1830;44947;33920.0
11516;2020;1;RJ;58130;UP;91504;356;44947;33920.0
11517;2020;1;RJ;58149;PDT;47562;20259;20259;18191.0
11518;2020;1;RJ;58149;MDB;47562;1558;20259;18191.0
11519;2020;1;RJ;58149;PSC;47562;18191;20259;18191.0
11520;2020;1;RJ;58149;CIDADANIA;47562;7493;20259;18191.0
11521;2020;1;RJ;58149;PSD;47562;61;20259;18191.0
11522;2020;1;RJ;58157;REPUBLICANOS;32410;8965;13166;8965.0
11523;2020;1;RJ;58157;PP;32410;13166;13166;8965.0
11524;2020;1;RJ;58157;PT;32410;316;13166;8965.0
11525;2020;1;RJ;58157;MDB;32410;1515;13166;8965.0
11526;2020;1;RJ;58157;PSC;32410;7309;13166;8965.0
11527;2020;1;RJ;58157;PSB;32410;404;13166;8965.0
11528;2020;1;RJ;58157;SOLIDARIEDADE;32410;735;13166;8965.0
11529;2020;1;RJ;58165;REPUBLICANOS;6625;686;2462;2398.0
11530;2020;1;RJ;58165;MDB;6625;2462;2462;2398.0
11531;2020;1;RJ;58165;PSD;6625;2398;2462;2398.0
11532;2020;1;RJ;58165;AVANTE;6625;165;2462;2398.0
11533;2020;1;RJ;58165;SOLIDARIEDADE;6625;914;2462;2398.0
11534;2020;1;RJ;58173;PSL;10378;2384;3540;3344.0
11535;2020;1;RJ;58173;PSC;10378;3344;3540;3344.0
11536;2020;1;RJ;58173;CIDADANIA;10378;793;3540;3344.0
11537;2020;1;RJ;58173;PSOL;10378;80;3540;3344.0
11538;2020;1;RJ;58173;PSD;10378;9;3540;3344.0
11539;2020;1;RJ;58173;SOLIDARIEDADE;10378;3540;3540;3344.0
11540;2020;1;RJ;58173;PROS;10378;228;3540;3344.0
11541;2020;1;RJ;58181;DEM;7017;395;3466;3156.0
11542;2020;1;RJ;58181;PSDB;7017;3156;3466;3156.0
11543;2020;1;RJ;58181;PSD;7017;3466;3466;3156.0
11544;2020;1;RJ;58190;REPUBLICANOS;246808;5378;106526;68732.0
11545;2020;1;RJ;58190;PDT;246808;68732;106526;68732.0
11546;2020;1;RJ;58190;PT;246808;4664;106526;68732.0
11547;2020;1;RJ;58190;CIDADANIA;246808;13530;106526;68732.0
11548;2020;1;RJ;58190;PMN;246808;1057;106526;68732.0
11549;2020;1;RJ;58190;PSDB;246808;1269;106526;68732.0
11550;2020;1;RJ;58190;PSOL;246808;11622;106526;68732.0
11551;2020;1;RJ;58190;PSD;246808;106526;106526;68732.0
11552;2020;1;RJ;58190;PCdoB;246808;1357;106526;68732.0
11553;2020;1;RJ;58190;SOLIDARIEDADE;246808;32673;106526;68732.0
11554;2020;1;RJ;58203;PDT;57207;797;29476;17267.0
11555;2020;1;RJ;58203;PT;57207;429;29476;17267.0
11556;2020;1;RJ;58203;PSL;57207;5801;29476;17267.0
