"ano_eleicao","num_turno","sigla_uf","muni_code","sigla_partido_hoje","total_votes_race","cand_votes","max_votes","runner_up"
"1",2020,1,"AC",1007,"PP",7051,2311,3386,2311
"2",2020,1,"AC",1007,"PDT",7051,3386,3386,2311
"3",2020,1,"AC",1007,"PT",7051,188,3386,2311
"4",2020,1,"AC",1007,"PSB",7051,735,3386,2311
"5",2020,1,"AC",1007,"SOLIDARIEDADE",7051,431,3386,2311
"6",2020,1,"AC",1015,"PT",5897,1228,2627,1318
"7",2020,1,"AC",1015,"PTB",5897,724,2627,1318
"8",2020,1,"AC",1015,"MDB",5897,1318,2627,1318
"9",2020,1,"AC",1015,"DEM",5897,2627,2627,1318
"10",2020,1,"AC",1023,"REPUBLICANOS",9531,1063,5415,2761
"11",2020,1,"AC",1023,"PP",9531,5415,5415,2761
"12",2020,1,"AC",1023,"MDB",9531,2761,5415,2761
"13",2020,1,"AC",1023,"PSL",9531,169,5415,2761
"14",2020,1,"AC",1023,"PSB",9531,123,5415,2761
"15",2020,1,"AC",1031,"PP",2845,1016,1156,1016
"16",2020,1,"AC",1031,"MDB",2845,1156,1156,1016
"17",2020,1,"AC",1031,"PSDB",2845,579,1156,1016
"18",2020,1,"AC",1031,"PROS",2845,94,1156,1016
"19",2020,1,"AC",1040,"PT",8373,3303,4521,3303
"20",2020,1,"AC",1040,"PSD",8373,4521,4521,3303
"21",2020,1,"AC",1040,"PROS",8373,549,4521,3303
"22",2020,1,"AC",1058,"PT",12868,7651,7651,4590
"23",2020,1,"AC",1058,"MDB",12868,4590,7651,4590
"24",2020,1,"AC",1058,"PSDB",12868,627,7651,4590
"25",2020,1,"AC",1066,"MDB",5423,3411,3411,2012
"26",2020,1,"AC",1066,"PROS",5423,2012,3411,2012
"27",2020,1,"AC",1074,"PP",42509,18766,18766,14666
"28",2020,1,"AC",1074,"MDB",42509,14666,18766,14666
"29",2020,1,"AC",1074,"PSL",42509,9077,18766,14666
"30",2020,1,"AC",1082,"PP",8971,307,5977,2340
"31",2020,1,"AC",1082,"PT",8971,2340,5977,2340
"32",2020,1,"AC",1082,"PTB",8971,343,5977,2340
"33",2020,1,"AC",1082,"PSOL",8971,4,5977,2340
"34",2020,1,"AC",1082,"PROS",8971,5977,5977,2340
"35",2020,1,"AC",1090,"PT",7575,4115,4115,3460
"36",2020,1,"AC",1090,"MDB",7575,3460,4115,3460
"37",2020,1,"AC",1104,"PDT",4186,1264,1264,1053
"38",2020,1,"AC",1104,"PT",4186,915,1264,1053
"39",2020,1,"AC",1104,"MDB",4186,1053,1264,1053
"40",2020,1,"AC",1104,"PL",4186,186,1264,1053
"41",2020,1,"AC",1104,"PCdoB",4186,768,1264,1053
"42",2020,1,"AC",1112,"PP",9036,741,3984,3328
"43",2020,1,"AC",1112,"PT",9036,983,3984,3328
"44",2020,1,"AC",1112,"PSL",9036,3328,3984,3328
"45",2020,1,"AC",1112,"PSDB",9036,3984,3984,3328
"46",2020,1,"AC",1120,"PP",6849,2405,2638,2405
"47",2020,1,"AC",1120,"PDT",6849,1237,2638,2405
"48",2020,1,"AC",1120,"MDB",6849,2638,2638,2405
"49",2020,1,"AC",1120,"PROS",6849,569,2638,2405
"50",2020,1,"AC",1139,"PP",15496,8528,8528,5716
"51",2020,1,"AC",1139,"PT",15496,706,8528,5716
"52",2020,1,"AC",1139,"MDB",15496,5716,8528,5716
"53",2020,1,"AC",1139,"PSL",15496,546,8528,5716
"54",2020,1,"AC",1392,"PP",177462,87987,87987,40250
"55",2020,1,"AC",1392,"PT",177462,7121,87987,40250
"56",2020,1,"AC",1392,"MDB",177462,12362,87987,40250
"57",2020,1,"AC",1392,"PSC",177462,1509,87987,40250
"58",2020,1,"AC",1392,"PSB",177462,40250,87987,40250
"59",2020,1,"AC",1392,"PSDB",177462,25939,87987,40250
"60",2020,1,"AC",1392,"AVANTE",177462,2294,87987,40250
"61",2020,1,"AC",1457,"PP",21512,9329,12183,9329
"62",2020,1,"AC",1457,"MDB",21512,12183,12183,9329
"63",2020,1,"AC",1473,"PDT",18562,5461,5461,4650
"64",2020,1,"AC",1473,"PTB",18562,57,5461,4650
"65",2020,1,"AC",1473,"MDB",18562,3634,5461,4650
"66",2020,1,"AC",1473,"DEM",18562,4650,5461,4650
"67",2020,1,"AC",1473,"PSOL",18562,280,5461,4650
"68",2020,1,"AC",1473,"PCdoB",18562,4480,5461,4650
"69",2020,1,"AC",1490,"PP",8797,2338,3815,2338
"70",2020,1,"AC",1490,"PT",8797,3815,3815,2338
"71",2020,1,"AC",1490,"MDB",8797,1443,3815,2338
"72",2020,1,"AC",1490,"PSD",8797,1201,3815,2338
"73",2020,1,"AC",1511,"MDB",9411,2679,3838,2800
"74",2020,1,"AC",1511,"PSL",9411,94,3838,2800
"75",2020,1,"AC",1511,"PSDB",9411,2800,3838,2800
"76",2020,1,"AC",1511,"PSD",9411,3838,3838,2800
"77",2020,1,"AC",1538,"PP",13618,4428,4428,3993
"78",2020,1,"AC",1538,"MDB",13618,3272,4428,3993
"79",2020,1,"AC",1538,"PSL",13618,263,4428,3993
"80",2020,1,"AC",1538,"PSDB",13618,1662,4428,3993
"81",2020,1,"AC",1538,"SOLIDARIEDADE",13618,3993,4428,3993
"82",2020,1,"AC",1554,"MDB",5396,3082,3082,2314
"83",2020,1,"AC",1554,"PSD",5396,2314,3082,2314
"84",2020,1,"AC",1570,"PT",4765,1583,1583,1082
"85",2020,1,"AC",1570,"MDB",4765,387,1583,1082
"86",2020,1,"AC",1570,"PSDB",4765,964,1583,1082
"87",2020,1,"AC",1570,"PSD",4765,1082,1583,1082
"88",2020,1,"AC",1570,"PCdoB",4765,749,1583,1082
"89",2020,1,"AL",27006,"PTB",8162,3798,4364,3798
"90",2020,1,"AL",27006,"DEM",8162,4364,4364,3798
"91",2020,1,"AL",27014,"PP",11012,5943,5943,3198
