Ano,Rodada,Data,Mandante,Visitante,Gol.Mandante,Gol.Visitante,Total Gols,GP_m_20,GP_v_20,GC_m_20,GC_v_20,ShotsP_m_20,ShotsP_v_20,Elo_Dif_Abs
2018,1,04/14/18 16:00,Cruzeiro,Gremio,0,1,1,26,22,23,18,292,229,0.349617821
2018,1,04/14/18 21:00,Santos,Ceara,2,0,2,20,23,19,36,NA,NA,3.639485369
2018,1,04/14/18 19:00,Vitoria,Flamengo,2,2,4,31,22,28,21,276,304,1.700226467
2018,1,04/15/18 19:00,Atletico-PR,Chapecoense,5,1,6,25,23,21,18,NA,NA,1.52850928
2018,1,04/15/18 16:00,Corinthians,Fluminense,2,1,3,21,21,22,26,266,246,2.71700047
2018,1,04/15/18 16:00,Internacional,Bahia,2,0,2,16,28,20,25,273,235,0.894241256
2018,1,04/15/18 16:00,Vasco,Atletico-MG,2,1,3,19,33,17,28,259,276,0.517955557
2018,1,04/16/18 20:00,Botafogo,Palmeiras,1,1,2,24,33,22,26,245,303,1.934745805
2018,1,04/16/18 20:00,Sao Paulo,Parana,1,0,1,27,21,25,41,NA,NA,3.604631726
2018,2,04/21/18 16:00,Bahia,Santos,1,0,1,26,22,26,19,236,265,2.79292136
2018,2,04/21/18 19:00,Flamengo,America-MG,2,0,2,24,14,21,28,300,205,1.145563415
2018,2,04/22/18 16:00,Atletico-MG,Vitoria,2,1,3,34,31,28,30,277,287,2.314936707
2018,2,04/22/18 16:00,Ceara,Sao Paulo,0,0,0,20,27,38,23,NA,NA,2.895668547
2018,2,04/22/18 16:00,Chapecoense,Vasco,1,1,2,24,21,21,18,229,272,0.671082842
2018,2,04/22/18 16:00,Fluminense,Cruzeiro,1,0,1,22,26,28,24,250,282,1.217384985
2018,2,04/22/18 19:00,Gremio,Atletico-PR,0,0,0,21,29,18,22,NA,NA,0.589357787
2018,2,04/22/18 16:00,Palmeiras,Internacional,1,0,1,34,16,26,18,291,271,2.164088339
2018,2,04/22/18 11:00,Parana,Corinthians,0,4,4,21,20,42,22,NA,NA,5.001377441
2018,3,04/28/18 16:00,Botafogo,Gremio,2,1,3,25,21,24,17,248,236,1.372983683
2018,3,04/29/18 16:00,Atletico-MG,Corinthians,1,0,1,34,24,29,21,269,260,0.878863709
2018,3,04/29/18 16:00,Bahia,Atletico-PR,0,0,0,26,25,22,21,NA,NA,0.879357955
2018,3,04/29/18 16:00,Ceara,Flamengo,0,3,3,19,26,35,19,NA,NA,3.188596382
2018,3,04/29/18 16:00,Fluminense,Sao Paulo,1,1,2,23,24,28,21,246,230,1.825616102
2018,3,04/29/18 19:00,Internacional,Cruzeiro,0,0,0,16,24,18,22,268,279,0.009970278
2018,3,04/29/18 16:00,Palmeiras,Chapecoense,0,0,0,34,23,25,22,297,226,1.235428257
2018,3,04/30/18 20:00,America-MG,Vitoria,2,1,3,14,32,29,31,218,278,0.64570748
2018,4,05/05/18 19:00,Sao Paulo,Atletico-MG,2,2,4,24,34,21,27,229,272,1.003873942
2018,3,05/05/18 19:00,Vasco,America-MG,4,1,5,21,15,18,28,277,220,2.163107412
2018,4,05/06/18 16:00,Atletico-PR,Palmeiras,1,3,4,25,34,21,23,NA,NA,0.699760408
2018,4,05/06/18 11:00,Corinthians,Ceara,1,1,2,23,18,22,37,NA,NA,4.592152906
2018,4,05/06/18 16:00,Cruzeiro,Botafogo,1,0,1,22,26,22,23,276,253,0.633750808
2018,4,05/06/18 16:00,Flamengo,Internacional,2,0,2,27,15,19,17,306,260,2.847193162
2018,4,05/06/18 19:00,Gremio,Santos,5,1,6,22,22,19,20,237,258,1.093427413
2018,4,05/06/18 19:00,Sport Recife,Bahia,2,0,2,NA,NA,NA,NA,268,249,2.887419025
2018,4,05/06/18 16:00,Vitoria,Fluminense,1,2,3,32,22,33,28,287,241,0.78812896
2018,4,05/07/18 20:00,Chapecoense,Parana,1,1,2,23,19,21,45,NA,NA,5.68575875
2018,5,05/12/18 16:00,Gremio,Internacional,0,0,0,22,14,20,18,241,264,2.243816872
2018,5,05/13/18 16:00,Atletico-PR,Atletico-MG,1,2,3,26,34,22,28,NA,NA,2.015938824
2018,5,05/13/18 16:00,Bahia,Sao Paulo,2,2,4,22,24,22,19,243,226,1.714739144
2018,5,05/13/18 16:00,Chapecoense,Flamengo,3,2,5,24,27,21,19,220,306,1.592577296
2018,5,05/13/18 16:00,Corinthians,Palmeiras,1,0,1,24,33,22,22,241,290,1.197782612
2018,5,05/13/18 11:00,Cruzeiro,Sport Recife,2,0,2,NA,NA,NA,NA,281,277,2.29752364
2018,5,05/13/18 19:00,Santos,Parana,3,1,4,23,18,25,44,NA,NA,5.06677512
2018,5,05/13/18 16:00,Vasco,Vitoria,2,3,5,25,32,16,35,286,279,4.738994063
2018,5,05/14/18 20:00,Botafogo,Fluminense,2,1,3,24,24,23,28,248,251,0.172292165
2018,5,05/14/18 20:00,Ceara,America-MG,2,2,4,19,15,34,30,NA,NA,1.548568536
2018,6,05/19/18 16:00,Atletico-MG,Cruzeiro,1,0,1,35,22,28,20,267,283,2.496284894
2018,6,05/19/18 19:00,Flamengo,Vasco,1,1,2,29,26,20,19,303,286,0.482431183
2018,6,05/19/18 21:00,Palmeiras,Bahia,3,0,3,32,23,22,23,291,243,3.171858946
2018,6,05/20/18 16:00,America-MG,Botafogo,1,0,1,17,24,30,24,214,240,0.591689672
2018,6,05/20/18 19:00,Fluminense,Atletico-PR,2,0,2,23,26,28,23,NA,NA,0.109357585
2018,6,05/20/18 16:00,Parana,Gremio,0,0,0,19,22,41,19,NA,NA,4.973062239
2018,6,05/20/18 16:00,Sao Paulo,Santos,1,0,1,24,25,19,25,227,247,0.185041266
2018,6,05/20/18 16:00,Sport Recife,Corinthians,1,1,2,NA,NA,NA,NA,270,238,4.422786835
2018,6,05/20/18 11:00,Vitoria,Ceara,2,1,3,33,20,35,35,NA,NA,0.579113042
2018,6,05/21/18 20:00,Internacional,Chapecoense,3,0,3,12,26,17,21,248,216,1.994945531
2018,7,05/26/18 21:00,Atletico-MG,Flamengo,0,1,1,35,28,27,21,268,300,1.352471801
2018,7,05/26/18 16:00,Fluminense,Chapecoense,3,1,4,24,25,25,24,269,218,0.682742724
2018,7,05/26/18 19:00,Palmeiras,Sport Recife,2,3,5,NA,NA,NA,NA,288,267,4.957886953
2018,7,05/27/18 19:00,America-MG,Sao Paulo,0,1,1,17,23,29,18,221,224,1.51476262
2018,7,05/27/18 16:00,Bahia,Vasco,3,0,3,23,26,25,20,243,294,2.621867395
2018,7,05/27/18 16:00,Botafogo,Vitoria,1,1,2,22,34,25,34,234,269,1.057006549
2018,7,05/27/18 19:00,Ceara,Gremio,0,1,1,21,22,33,18,NA,NA,3.237856453
2018,7,05/27/18 16:00,Internacional,Corinthians,2,1,3,14,25,15,21,248,227,2.249859351
2018,7,05/27/18 11:00,Parana,Atletico-PR,0,0,0,17,23,37,24,NA,NA,3.345324328
2018,7,05/27/18 16:00,Santos,Cruzeiro,0,1,1,23,21,26,21,240,283,0.777505656
2018,8,05/30/18 21:00,Chapecoense,Ceara,2,0,2,25,21,27,33,NA,NA,3.23335504
2018,8,05/30/18 21:45,Cruzeiro,Palmeiras,1,0,1,20,35,20,25,287,288,0.893271621
2018,8,05/30/18 21:45,Gremio,Fluminense,0,0,0,23,27,17,25,226,271,0.846559642
2018,8,05/30/18 21:00,Sao Paulo,Botafogo,3,2,5,23,20,17,24,223,233,2.455291265
2018,8,05/30/18 19:30,Sport Recife,Atletico-MG,3,2,5,NA,NA,NA,NA,274,277,3.8406523
2018,8,05/30/18 19:30,Vasco,Parana,1,0,1,26,16,22,37,NA,NA,5.067426412
2018,8,05/30/18 19:30,Vitoria,Internacional,2,3,5,32,16,34,15,268,252,1.182149307
2018,8,05/31/18 21:00,Atletico-PR,Santos,2,0,2,23,23,23,25,NA,NA,0.87855001
2018,8,05/31/18 18:00,Corinthians,America-MG,1,0,1,25,15,22,28,220,223,2.125806595
2018,8,05/31/18 16:00,Flamengo,Bahia,2,0,2,28,25,20,25,277,242,2.928972719
2018,9,06/02/18 16:00,Atletico-MG,Chapecoense,3,3,6,34,26,28,26,284,229,1.317368579
2018,9,06/02/18 16:00,Internacional,Sport Recife,0,0,0,NA,NA,NA,NA,253,272,1.660355159
2018,9,06/02/18 21:00,Palmeiras,Sao Paulo,3,1,4,35,25,25,19,277,231,0.868658181
2018,9,06/02/18 19:00,Vasco,Botafogo,1,2,3,26,20,21,24,286,233,1.904062633
2018,9,06/03/18 16:00,America-MG,Atletico-PR,3,1,4,14,25,29,21,NA,NA,0.667699524
2018,9,06/03/18 16:00,Bahia,Gremio,0,2,2,24,22,26,17,248,225,1.734208893
2018,9,06/03/18 19:00,Ceara,Cruzeiro,0,1,1,18,20,33,19,NA,NA,4.402899541
2018,9,06/03/18 16:00,Flamengo,Corinthians,1,0,1,30,25,19,21,281,222,0.998428707
2018,9,06/03/18 16:00,Santos,Vitoria,5,2,7,22,31,27,35,237,276,1.470184897
2018,9,06/04/18 20:00,Parana,Fluminense,2,1,3,15,27,35,24,NA,NA,4.712603287
2018,10,06/05/18 21:30,Sao Paulo,Internacional,0,0,0,26,18,21,13,231,258,1.340307654
2018,10,06/06/18 19:30,Botafogo,Ceara,1,0,1,20,17,24,33,NA,NA,3.679783902
2018,10,06/06/18 21:00,Corinthians,Santos,1,1,2,22,26,21,29,221,249,1.311757349
2018,10,06/06/18 21:45,Cruzeiro,Vasco,1,1,2,19,26,18,22,280,277,1.170311462
2018,10,06/06/18 21:45,Gremio,Palmeiras,0,2,2,24,36,16,24,223,272,0.108186824
2018,10,06/06/18 21:00,Sport Recife,Atletico-PR,1,0,1,NA,NA,NA,NA,NA,NA,0.049159268
2018,10,06/06/18 19:30,Vitoria,Chapecoense,1,0,1,32,28,38,27,280,230,2.674321314
2018,10,06/07/18 21:00,America-MG,Atletico-MG,1,3,4,16,36,30,31,227,281,2.076095184
2018,10,06/07/18 20:00,Fluminense,Flamengo,0,2,2,27,30,25,18,268,286,2.954940003
2018,10,06/07/18 20:00,Parana,Bahia,1,0,1,16,22,34,26,NA,NA,2.182032703
2018,11,06/09/18 16:00,Atletico-PR,Sao Paulo,0,1,1,23,24,21,20,NA,NA,2.566580205
2018,11,06/09/18 19:00,Chapecoense,Cruzeiro,2,0,2,28,19,27,19,NA,NA,1.194663292
2018,11,06/09/18 21:00,Corinthians,Vitoria,0,0,0,23,31,20,36,227,273,2.650121152
2018,11,06/09/18 19:00,Vasco,Sport Recife,3,2,5,NA,NA,NA,NA,271,269,1.064568343
2018,11,06/10/18 16:00,Atletico-MG,Fluminense,5,2,7,38,26,31,27,281,260,2.718870597
2018,11,06/10/18 16:00,Bahia,Botafogo,3,3,6,20,21,27,23,249,235,2.039530595
2018,11,06/10/18 16:00,Ceara,Palmeiras,2,2,4,16,35,33,23,NA,NA,6.275143235
2018,11,06/10/18 19:00,Flamengo,Parana,2,0,2,31,14,18,33,NA,NA,6.572689028
2018,11,06/10/18 16:00,Gremio,America-MG,1,0,1,23,17,18,30,231,238,2.057480024
2018,11,06/10/18 19:00,Santos,Internacional,1,2,3,26,17,29,13,253,256,0.384818303
2018,12,06/12/18 21:30,Sao Paulo,Vitoria,3,0,3,24,29,17,33,215,266,3.299827745
2018,12,06/13/18 16:00,America-MG,Chapecoense,0,0,0,17,27,29,25,242,219,2.020694519
2018,12,06/13/18 21:45,Atletico-MG,Ceara,2,1,3,41,17,30,31,NA,NA,6.001274219
2018,12,06/13/18 21:45,Bahia,Corinthians,1,0,1,22,23,26,20,258,239,2.71525713
2018,12,06/13/18 21:00,Botafogo,Atletico-PR,2,0,2,23,20,25,20,NA,NA,1.829132033
2018,12,06/13/18 19:00,Fluminense,Santos,0,1,1,25,25,31,29,263,254,0.443940389
2018,12,06/13/18 21:45,Internacional,Vasco,3,1,4,18,27,14,24,260,273,0.364399593
2018,12,06/13/18 21:00,Palmeiras,Flamengo,1,1,2,35,29,25,17,261,273,1.304891688
2018,12,06/13/18 19:30,Parana,Cruzeiro,1,1,2,12,19,32,20,NA,NA,4.150471638
2018,12,06/13/18 19:30,Sport Recife,Gremio,0,0,0,NA,NA,NA,NA,271,234,1.825380782
2018,13,07/18/18 19:30,Ceara,Sport Recife,1,0,1,NA,NA,NA,NA,NA,NA,2.990654204
2018,13,07/18/18 21:45,Corinthians,Botafogo,2,0,2,22,23,19,24,239,254,0.190276376
2018,13,07/18/18 21:45,Flamengo,Sao Paulo,0,1,1,30,25,16,17,271,219,1.411628328
2018,13,07/18/18 21:45,Gremio,Atletico-MG,2,0,2,23,40,15,30,242,300,1.274397861
2018,13,07/18/18 21:00,Vitoria,Parana,1,0,1,28,13,34,29,NA,NA,1.692569142
2018,13,07/19/18 21:00,Atletico-PR,Internacional,2,2,4,18,21,21,14,NA,NA,3.478504484
2018,13,07/19/18 19:30,Chapecoense,Bahia,1,1,2,25,21,25,25,NA,NA,2.072759431
2018,13,07/19/18 19:30,Cruzeiro,America-MG,3,1,4,19,17,18,26,NA,NA,2.331046986
2018,13,07/19/18 20:00,Santos,Palmeiras,1,1,2,25,33,28,25,NA,NA,1.914217816
2018,13,07/19/18 20:00,Vasco,Fluminense,1,1,2,27,25,27,30,NA,NA,2.052682769
2018,14,07/21/18 19:00,Flamengo,Botafogo,2,0,2,30,23,17,26,287,272,2.779463046
2018,14,07/21/18 21:00,Sao Paulo,Corinthians,3,1,4,24,24,16,18,223,234,2.270340851
2018,14,07/22/18 16:00,Bahia,Vitoria,4,1,5,21,28,25,33,NA,NA,0.06475921
2018,14,07/22/18 19:00,Chapecoense,Santos,0,0,0,26,25,26,29,NA,NA,0.210090616
2018,14,07/22/18 19:00,Cruzeiro,Atletico-PR,2,1,3,20,20,17,23,NA,NA,2.927946077
2018,14,07/22/18 16:00,Palmeiras,Atletico-MG,3,2,5,32,40,24,32,NA,NA,0.209895907
2018,14,07/22/18 16:00,Parana,America-MG,1,0,1,13,18,29,27,NA,NA,1.691873982
2018,14,07/22/18 16:00,Sport Recife,Fluminense,1,2,3,NA,NA,NA,NA,NA,NA,0.056953057
2018,14,07/22/18 16:00,Vasco,Gremio,1,0,1,27,23,27,13,NA,NA,1.31567815
2018,14,07/23/18 20:00,Internacional,Ceara,1,0,1,21,19,15,31,NA,NA,4.870322265
2018,15,07/25/18 21:00,Atletico-MG,Parana,2,0,2,41,14,32,26,NA,NA,4.681453199
2018,15,07/25/18 21:45,Corinthians,Cruzeiro,2,0,2,22,21,19,18,239,298,0.849466727
2018,15,07/25/18 19:30,Fluminense,Palmeiras,1,0,1,25,33,30,23,263,244,3.104433063
2018,15,07/25/18 21:45,Santos,Flamengo,1,1,2,24,31,27,14,261,280,2.792973177
2018,15,07/26/18 17:00,America-MG,Internacional,2,1,3,17,22,28,15,NA,NA,3.890760128
2018,15,07/26/18 17:00,Botafogo,Chapecoense,1,0,1,22,25,26,25,NA,NA,0.302830535
2018,15,07/26/18 19:30,Gremio,Sao Paulo,2,1,3,20,26,13,17,NA,NA,2.014176964
2018,15,07/26/18 19:30,Vitoria,Sport Recife,1,0,1,NA,NA,NA,NA,NA,NA,0.360590997
2018,16,07/28/18 16:00,Ceara,Fluminense,1,0,1,18,24,30,28,NA,NA,3.358282586
2018,16,07/29/18 16:00,Atletico-PR,Vitoria,4,0,4,21,26,24,35,NA,NA,0.761344605
2018,16,07/29/18 19:00,Chapecoense,Gremio,1,1,2,23,21,24,14,NA,NA,1.79409564
2018,16,07/29/18 16:00,Cruzeiro,Sao Paulo,0,2,2,21,25,18,17,NA,NA,1.897887375
2018,16,07/29/18 16:00,Flamengo,Sport Recife,4,1,5,NA,NA,NA,NA,NA,NA,5.423398674
2018,16,07/29/18 16:00,Internacional,Botafogo,3,0,3,22,21,16,25,NA,NA,0.925045718
