;ANO_ELEICAO;SG_UF;NM_UE;DS_CARGO;SQ_CANDIDATO;NM_URNA_CANDIDATO;CD_SITUACAO_CANDIDATURA;SG_PARTIDO;NR_IDADE_DATA_POSSE;DS_GENERO;DS_GRAU_INSTRUCAO;DS_ESTADO_CIVIL;DS_COR_RACA;DS_OCUPACAO;VR_DESPESA_MAX_CAMPANHA;ST_REELEICAO;ST_DECLARAR_BENS;ST_CANDIDATO_INSERIDO_URNA;VR_BEM_CANDIDATO;DS_SIT_TOT_TURNO;QT_VOTOS_NOMINAIS;eleito;Prob_0;Prob_1
0;2020;SP;SÃO PAULO;VEREADOR;250001100725;GENILDO CASTRO;12;PMB;54;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;VENDEDOR DE COMÉRCIO VAREJISTA E ATACADISTA;3675197.12;N;S;SIM;211816.27;NÃO ELEITO;1055.0;0;0.9698113122435278;0.030188687756472255
1;2020;SP;SÃO PAULO;VEREADOR;250000755998;SHIRLEY SILVÉRIO;12;PSTU;29;FEMININO;SUPERIOR INCOMPLETO;SOLTEIRO(A);PRETA;ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS;3675197.12;N;S;SIM;2500.0;NÃO ELEITO;175.0;0;0.8687112372362307;0.1312887627637693
2;2020;SP;SÃO PAULO;VEREADOR;250001097215;CELSO ROCHA;12;PTC;36;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PARDA;OUTROS;3675197.12;N;S;SIM;11000.0;NÃO ELEITO;1075.0;0;0.9124462096786384;0.08755379032136158
3;2020;SP;SÃO PAULO;VEREADOR;250000883890;CAMILA TAPIA;12;REPUBLICANOS;37;FEMININO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);BRANCA;APOSENTADO (EXCETO SERVIDOR PÚBLICO);3675197.12;N;S;SIM;128000.0;SUPLENTE;1135.0;0;0.9154787047954757;0.08452129520452438
4;2020;SP;SÃO PAULO;VEREADOR;250001016142;MARCIA NUNES;12;PSD;50;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;EMPRESÁRIO;3675197.12;N;S;SIM;490000.0;SUPLENTE;518.0;0;0.9587708819241282;0.041229118075871804
5;2020;SP;SÃO PAULO;VEREADOR;250000789477;SANDEY;12;PT;47;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;EMPRESÁRIO;3675197.12;N;S;SIM;40000.0;SUPLENTE;46.0;0;0.9549437047723678;0.04505629522763225
6;2020;SP;SÃO PAULO;VEREADOR;250000688217;ANGELA QUINTANILHA;12;NOVO;63;FEMININO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;EMPRESÁRIO;3675197.12;N;S;SIM;2682469.3;SUPLENTE;1306.0;0;0.9705490973286401;0.029450902671359892
7;2020;SP;SÃO PAULO;VEREADOR;250000707268;GRAÇA FERRARI;12;PP;55;FEMININO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);BRANCA;COMERCIANTE;3675197.12;N;S;SIM;25000.0;SUPLENTE;307.0;0;0.9727876318499277;0.027212368150072372
8;2020;SP;SÃO PAULO;VEREADOR;250001119922;JESUS DA PERIFERIA;12;PDT;36;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PRETA;OUTROS;3675197.12;N;S;SIM;4736.9;NÃO ELEITO;1533.0;0;0.9125487642089644;0.08745123579103567
9;2020;SP;SÃO PAULO;VEREADOR;250000688234;VICTOR MIONZINHO;12;NOVO;36;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;EMPRESÁRIO;3675197.12;N;S;SIM;606934.0;SUPLENTE;2171.0;0;0.9011268779420308;0.0988731220579692
